DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,36.40444491,35.34619146,33.838405
ANCASH,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,15.67883663,14.93468964,18.15611253
APURIMAC,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,18.02108402,15.529987,11.6830632
AREQUIPA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,11.11169286,11.81091254,10.06945486
AYACUCHO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,23.31339188,20.29829246,18.43797499
CAJAMARCA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,23.85790698,21.39412475,20.21397206
CALLAO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,6.976406674,9.592245528,5.764596349
CUSCO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,18.06363475,18.64004732,15.23822127
HUANCAVELICA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,24.78956969,20.91072466,21.52379615
HUANUCO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,27.37991401,29.12135296,23.67019539
ICA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,11.77092697,8.805168616,8.243784296
JUNIN,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,26.83403855,25.96796746,24.0868274
LA LIBERTAD,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,13.59234988,13.41765705,10.64759939
LAMBAYEQUE,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,11.39567817,14.21396237,9.812053104
LIMA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,9.242414253,9.106639124,9.333485858
LORETO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,57.52171578,55.62417785,53.24508131
MADRE DE DIOS,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,29.12051754,22.8401033,25.43368124
MOQUEGUA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,14.14288261,11.63417762,11.3783183
PASCO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,38.51478318,32.66222376,33.41270104
PIURA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,26.643838,26.97314831,24.57737719
PUNO,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,26.66415203,24.1893457,19.95581854
SAN MARTIN,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,38.28290116,34.15692714,32.84088928
TACNA,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,9.839045183,8.780642175,9.318470814
TUMBES,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,28.56734781,25.58974168,26.23824625
UCAYALI,POBLACION CON AL MENOS UNA NECESIDAD BASICA INSATISFECHA,45.19149011,42.29384795,40.55262547
