DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,indice de acceso a agua,82,83.4,85.3
ANCASH,indice de acceso a agua,93.9,92.3,93.6
APURIMAC,indice de acceso a agua,92.7,93.1,95.4
AREQUIPA,indice de acceso a agua,93.4,92.8,93.1
AYACUCHO,indice de acceso a agua,91.6,90.7,92.1
CAJAMARCA,indice de acceso a agua,79.4,81.8,86.2
CALLAO,indice de acceso a agua,96.8,97.7,97.7
CUSCO,indice de acceso a agua,92.2,92.5,95.4
HUANCAVELICA,indice de acceso a agua,84.7,84.1,84.4
HUANUCO,indice de acceso a agua,73.4,73.2,75.2
ICA,indice de acceso a agua,93.6,93.3,93.1
JUNIN,indice de acceso a agua,89.6,89.5,90.3
LA LIBERTAD,indice de acceso a agua,90.5,90.3,91.1
LAMBAYEQUE,indice de acceso a agua,89.2,90,92.1
LIMA,indice de acceso a agua,96.1,94,95.2
LORETO,indice de acceso a agua,57.7,58.1,57.5
MADRE DE DIOS,indice de acceso a agua,85.4,88.6,85.9
MOQUEGUA,indice de acceso a agua,94.2,94.5,95.2
PASCO,indice de acceso a agua,68.4,73.7,77.4
PIURA,indice de acceso a agua,83.5,84.8,85.4
PUNO,indice de acceso a agua,67.6,69,66
SAN MARTIN,indice de acceso a agua,86.9,85.8,85.8
TACNA,indice de acceso a agua,91.1,92.8,95
TUMBES,indice de acceso a agua,82.5,79.1,83.7
UCAYALI,indice de acceso a agua,71.2,71.6,76
