DEPARTAMENTO;INDICADOR;2016;2017;2018
AMAZONAS;indice analfabetismo;9.3;8.5;8.4
ANCASH;indice analfabetismo;8.7;10;9.6
APURIMAC;indice analfabetismo;16.3;15.2;14
AREQUIPA;indice analfabetismo;4.4;3.9;3.5
AYACUCHO;indice analfabetismo;11.6;11.7;11.9
CAJAMARCA;indice analfabetismo;14;11.5;11.5
CALLAO;indice analfabetismo;2.3;2.2;2
CUSCO;indice analfabetismo;10.1;10.9;10.6
HUANCAVELICA;indice analfabetismo;12.6;13.8;12.4
HUANUCO;indice analfabetismo;13.4;13.1;12.9
ICA;indice analfabetismo;3.1;2.6;2
JUNIN;indice analfabetismo;6;5.4;6.3
LA LIBERTAD;indice analfabetismo;5.2;6.1;5.6
LAMBAYEQUE;indice analfabetismo;6.5;6.1;6.1
LIMA;indice analfabetismo;2.3;2.2;2
LORETO;indice analfabetismo;6.7;7.3;6.4
MADRE DE DIOS;indice analfabetismo;4.1;4.3;4.3
MOQUEGUA;indice analfabetismo;4.5;4.2;4.6
PASCO;indice analfabetismo;6.3;7.3;6.3
PIURA;indice analfabetismo;7.9;7.6;8
PUNO;indice analfabetismo;9.2;9.5;8.7
SAN MARTIN;indice analfabetismo;7.1;8.4;7.3
TACNA;indice analfabetismo;4.5;3.4;3.2
TUMBES;indice analfabetismo;3;3.7;3
UCAYALI;indice analfabetismo;4.7;4.5;4.5
