DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,CANON MINERO,0,0,0
ANCASH,CANON MINERO,313664,494475,1085385
APURIMAC,CANON MINERO,3207,16469,11708
AREQUIPA,CANON MINERO,21985,258609,531759
AYACUCHO,CANON MINERO,15023,10814,32700
CAJAMARCA,CANON MINERO,259240,213291,137435
CALLAO,CANON MINERO,5,8,2
CUSCO,CANON MINERO,49043,81305,211561
HUANCAVELICA,CANON MINERO,96,980,2789
HUANUCO,CANON MINERO,23,3631,12422
ICA,CANON MINERO,56639,93246,166904
JUNIN,CANON MINERO,25434,62386,138939
LA LIBERTAD,CANON MINERO,253361,254956,259097
LAMBAYEQUE,CANON MINERO,4,7,5
LIMA,CANON MINERO,41112,75575,101580
LORETO,CANON MINERO,583,885,1463
MADRE DE DIOS,CANON MINERO,189395,87391,162314
MOQUEGUA,CANON MINERO,0,0,0
PASCO,CANON MINERO,12960,44308,69258
PIURA,CANON MINERO,31623,5205,698
PUNO,CANON MINERO,87175,91418,91766
SAN MARTIN,CANON MINERO,943,1056,1077
TACNA,CANON MINERO,177660,94716,166693
TUMBES,CANON MINERO,0,46,23
UCAYALI,CANON MINERO,0,0,0
