DEPARTAMENTO;INDICADOR;2016;2017;2018
AMAZONAS;prom eduacion de 15 anos a mas;8.5;8.7;8.8
ANCASH;prom eduacion de 15 anos a mas;9.6;9.5;9.7
APURIMAC;prom eduacion de 15 anos a mas;9.2;9.2;9.1
AREQUIPA;prom eduacion de 15 anos a mas;10.9;10.9;11
AYACUCHO;prom eduacion de 15 anos a mas;9.1;9.2;9.3
CAJAMARCA;prom eduacion de 15 anos a mas;8.2;8.2;8.3
CALLAO;prom eduacion de 15 anos a mas;11.1;11.1;11
CUSCO;prom eduacion de 15 anos a mas;9.7;9.6;9.7
HUANCAVELICA;prom eduacion de 15 anos a mas;8.9;8.7;8.8
HUANUCO;prom eduacion de 15 anos a mas;8.5;8.6;8.7
ICA;prom eduacion de 15 anos a mas;11;11;11.2
JUNIN;prom eduacion de 15 anos a mas;9.8;9.8;9.9
LA LIBERTAD;prom eduacion de 15 anos a mas;9.7;9.7;9.9
LAMBAYEQUE;prom eduacion de 15 anos a mas;10.1;10;10.2
LIMA;prom eduacion de 15 anos a mas;11.2;11.2;11.3
LORETO;prom eduacion de 15 anos a mas;8.9;9.1;9.1
MADRE DE DIOS;prom eduacion de 15 anos a mas;9.9;9.9;10.3
MOQUEGUA;prom eduacion de 15 anos a mas;10.7;10.8;10.8
PASCO;prom eduacion de 15 anos a mas;9.8;9.9;10
PIURA;prom eduacion de 15 anos a mas;9.2;9.4;9.4
PUNO;prom eduacion de 15 anos a mas;9.6;9.8;9.9
SAN MARTIN;prom eduacion de 15 anos a mas;8.6;8.7;8.8
TACNA;prom eduacion de 15 anos a mas;10.9;10.7;10.9
TUMBES;prom eduacion de 15 anos a mas;9.9;10;10
UCAYALI;prom eduacion de 15 anos a mas;9.5;9.4;9.7
