DEPARTAMENTO;INDICADOR;2016;2017;2018
AMAZONAS;EMPLEO INFORMAL MILES;201.5;202.1;203.6
ANCASH;EMPLEO INFORMAL MILES;493.9;493;496.5
APURIMAC;EMPLEO INFORMAL MILES;232.3;224.1;231.4
AREQUIPA;EMPLEO INFORMAL MILES;442.8;443.8;457.8
AYACUCHO;EMPLEO INFORMAL MILES;309.4;319.9;324.8
CAJAMARCA;EMPLEO INFORMAL MILES;728.1;784.3;766.2
CALLAO;EMPLEO INFORMAL MILES;298.6;300.4;297.9
CUSCO;EMPLEO INFORMAL MILES;606.6;623.3;601.1
HUANCAVELICA;EMPLEO INFORMAL MILES;235.4;241.3;242.8
HUANUCO;EMPLEO INFORMAL MILES;394;385.8;402.8
ICA;EMPLEO INFORMAL MILES;259.2;253.6;257.7
JUNIN;EMPLEO INFORMAL MILES;577;575.4;606.1
LA LIBERTAD;EMPLEO INFORMAL MILES;685.1;706.5;723.7
LAMBAYEQUE;EMPLEO INFORMAL MILES;478.5;471.6;485.7
LIMA;EMPLEO INFORMAL MILES;2821.4;3045.4;3075.8
LORETO;EMPLEO INFORMAL MILES;416.5;407.6;420.4
MADRE DE DIOS;EMPLEO INFORMAL MILES;60.9;62.4;65.5
MOQUEGUA;EMPLEO INFORMAL MILES;66.5;70.3;66.3
PASCO;EMPLEO INFORMAL MILES;128.8;126.7;135.5
PIURA;EMPLEO INFORMAL MILES;726.4;703;741
PUNO;EMPLEO INFORMAL MILES;657.6;683.2;696.2
SAN MARTIN;EMPLEO INFORMAL MILES;380.4;404.3;398.5
TACNA;EMPLEO INFORMAL MILES;134.9;131.4;138.2
TUMBES;EMPLEO INFORMAL MILES;104.2;102.3;101.8
UCAYALI;EMPLEO INFORMAL MILES;217.2;216.5;215.6
