DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,PROM_INGRESO_MENSUAL,995.4,967.1,1033.2
ANCASH,PROM_INGRESO_MENSUAL,1094.9,1090.0,1117.0
APURIMAC,PROM_INGRESO_MENSUAL,889.4,900.8,936.9
AREQUIPA,PROM_INGRESO_MENSUAL,1512.2,1545.0,1644.6
AYACUCHO,PROM_INGRESO_MENSUAL,879.5,902.2,959.8
CAJAMARCA,PROM_INGRESO_MENSUAL,806.3,843.3,817.9
CALLAO,PROM_INGRESO_MENSUAL,1561.1,1598.5,1526.3
CUSCO,PROM_INGRESO_MENSUAL,1144.6,1064.7,1189.0
HUANCAVELICA,PROM_INGRESO_MENSUAL,733.7,709.1,702.5
HUANUCO,PROM_INGRESO_MENSUAL,901.5,933.1,974.2
ICA,PROM_INGRESO_MENSUAL,1297.3,1363.7,1414.8
JUNIN,PROM_INGRESO_MENSUAL,1199.3,1135.7,1130.1
LA LIBERTAD,PROM_INGRESO_MENSUAL,1203.8,1256.5,1268.4
LAMBAYEQUE,PROM_INGRESO_MENSUAL,1117.1,1113.2,1189.7
LIMA,PROM_INGRESO_MENSUAL,1870.0,1851.6,1857.3
LORETO,PROM_INGRESO_MENSUAL,1062.3,1167.3,1166.2
MADRE DE DIOS,PROM_INGRESO_MENSUAL,1632.9,1669.3,1638.7
MOQUEGUA,PROM_INGRESO_MENSUAL,1818.4,1689.7,1769.5
PASCO,PROM_INGRESO_MENSUAL,1000.8,1051.1,1055.7
PIURA,PROM_INGRESO_MENSUAL,952.3,1047.5,1104.3
PUNO,PROM_INGRESO_MENSUAL,856.8,818.8,839.8
SAN MARTIN,PROM_INGRESO_MENSUAL,1079.2,1128.8,1175.8
TACNA,PROM_INGRESO_MENSUAL,1336.6,1354.2,1359.4
TUMBES,PROM_INGRESO_MENSUAL,1255.5,1260.8,1338.3
UCAYALI,PROM_INGRESO_MENSUAL,1182.6,1166.8,1212.0
