DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,POB-TOTAL-ESTIMADA,411525,415469,419833
ANCASH,POB-TOTAL-ESTIMADA,1126698,1140486,1155451
APURIMAC,POB-TOTAL-ESTIMADA,422534,424717,427323
AREQUIPA,POB-TOTAL-ESTIMADA,1357444,1392144,1428708
AYACUCHO,POB-TOTAL-ESTIMADA,647794,653101,659061
CAJAMARCA,POB-TOTAL-ESTIMADA,1418297,1427598,1438325
CALLAO,POB-TOTAL-ESTIMADA,1025749,1051572,1078789
CUSCO,POB-TOTAL-ESTIMADA,1280145,1299643,1320530
HUANCAVELICA,POB-TOTAL-ESTIMADA,386752,381277,376346
HUANUCO,POB-TOTAL-ESTIMADA,752248,754476,757467
ICA,POB-TOTAL-ESTIMADA,870166,896000,923175
JUNIN,POB-TOTAL-ESTIMADA,1304632,1319212,1335139
LA LIBERTAD,POB-TOTAL-ESTIMADA,1855780,1895988,1938501
LAMBAYEQUE,POB-TOTAL-ESTIMADA,1226321,1247616,1270295
LIMA,POB-TOTAL-ESTIMADA,9711755,9939885,10180641
LORETO,POB-TOTAL-ESTIMADA,970219,984759,1000350
MADRE DE DIOS,POB-TOTAL-ESTIMADA,149044,155027,161324
MOQUEGUA,POB-TOTAL-ESTIMADA,179508,182836,186371
PASCO,POB-TOTAL-ESTIMADA,270648,271036,271704
PIURA,POB-TOTAL-ESTIMADA,1895889,1933993,1974368
PUNO,POB-TOTAL-ESTIMADA,1231778,1233676,1236836
SAN MARTIN,POB-TOTAL-ESTIMADA,831960,848910,866861
TACNA,POB-TOTAL-ESTIMADA,337630,345911,354644
TUMBES,POB-TOTAL-ESTIMADA,230598,235813,241321
UCAYALI,POB-TOTAL-ESTIMADA,527717,542847,558767
