DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,TASA DENUNCIA DE DELITOS,78.8,134,146.1
ANCASH,TASA DENUNCIA DE DELITOS,90.5,101.7,118.3
APURIMAC,TASA DENUNCIA DE DELITOS,43.4,55.4,97.9
AREQUIPA,TASA DENUNCIA DE DELITOS,151.1,193.8,211.4
AYACUCHO,TASA DENUNCIA DE DELITOS,45,65,87.5
CAJAMARCA,TASA DENUNCIA DE DELITOS,42,61.5,70.5
CALLAO,TASA DENUNCIA DE DELITOS,149.6,143.4,208.6
CUSCO,TASA DENUNCIA DE DELITOS,89,103.1,118.1
HUANCAVELICA,TASA DENUNCIA DE DELITOS,27,29.5,31.3
HUANUCO,TASA DENUNCIA DE DELITOS,36.5,44.6,70.4
ICA,TASA DENUNCIA DE DELITOS,165.8,171.6,202.1
JUNIN,TASA DENUNCIA DE DELITOS,68.9,84.9,108.8
LA LIBERTAD,TASA DENUNCIA DE DELITOS,89.2,114.9,125.9
LAMBAYEQUE,TASA DENUNCIA DE DELITOS,168.4,196.6,211.6
LIMA,TASA DENUNCIA DE DELITOS,170.5,175.1,188.5
LORETO,TASA DENUNCIA DE DELITOS,54.6,45.7,71.7
MADRE DE DIOS,TASA DENUNCIA DE DELITOS,116.8,167.1,230.2
MOQUEGUA,TASA DENUNCIA DE DELITOS,102.7,121.8,156.2
PASCO,TASA DENUNCIA DE DELITOS,30.6,57.4,81.3
PIURA,TASA DENUNCIA DE DELITOS,90.7,107.6,125.9
PUNO,TASA DENUNCIA DE DELITOS,33.2,29.1,36.1
SAN MARTIN,TASA DENUNCIA DE DELITOS,43.8,60,100.3
TACNA,TASA DENUNCIA DE DELITOS,93.3,114.6,140.6
TUMBES,TASA DENUNCIA DE DELITOS,136.1,181,241.1
UCAYALI,TASA DENUNCIA DE DELITOS,122.3,138.6,166.6
