DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,VIOLENCIA FISICA,25.7,23.5,27.7
ANCASH,VIOLENCIA FISICA,28.4,33.1,30.2
APURIMAC,VIOLENCIA FISICA,45.8,47.8,44.3
AREQUIPA,VIOLENCIA FISICA,38.3,39.6,34.9
AYACUCHO,VIOLENCIA FISICA,39.7,41.4,36.9
CAJAMARCA,VIOLENCIA FISICA,28.9,25.9,24.4
CALLAO,VIOLENCIA FISICA,29.3,29.9,33.3
CUSCO,VIOLENCIA FISICA,39.8,41.1,45.7
HUANCAVELICA,VIOLENCIA FISICA,35.5,35.5,38.9
HUANUCO,VIOLENCIA FISICA,26.8,27.4,26.6
ICA,VIOLENCIA FISICA,28.7,30.9,25.3
JUNIN,VIOLENCIA FISICA,40.6,43.5,35.9
LA LIBERTAD,VIOLENCIA FISICA,20.9,21.5,25.8
LAMBAYEQUE,VIOLENCIA FISICA,23.8,27.3,23.8
LIMA,VIOLENCIA FISICA,31.5,28.1,28.7
LORETO,VIOLENCIA FISICA,23.2,21.9,24.9
MADRE DE DIOS,VIOLENCIA FISICA,38.2,34.9,30.2
MOQUEGUA,VIOLENCIA FISICA,32.9,33.2,35.4
PASCO,VIOLENCIA FISICA,30.5,31.7,29.5
PIURA,VIOLENCIA FISICA,32.3,30.3,34.5
PUNO,VIOLENCIA FISICA,42.2,38.7,42.3
SAN MARTIN,VIOLENCIA FISICA,38.2,36.6,33.3
TACNA,VIOLENCIA FISICA,33.4,26.9,29.8
TUMBES,VIOLENCIA FISICA,31.3,30.1,33.2
UCAYALI,VIOLENCIA FISICA,31.0,24.4,25.2
