DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,VIOLENCIA SICOLOGICA,56.5,51.3,51.8
ANCASH,VIOLENCIA SICOLOGICA,61.3,66.4,66.1
APURIMAC,VIOLENCIA SICOLOGICA,75.6,74.0,79.5
AREQUIPA,VIOLENCIA SICOLOGICA,70.1,70.3,61.6
AYACUCHO,VIOLENCIA SICOLOGICA,62.4,59.2,62.8
CAJAMARCA,VIOLENCIA SICOLOGICA,58.1,57.2,61.9
CALLAO,VIOLENCIA SICOLOGICA,57.6,61.7,63.6
CUSCO,VIOLENCIA SICOLOGICA,71.4,76.6,75.5
HUANCAVELICA,VIOLENCIA SICOLOGICA,70.8,69.1,73.7
HUANUCO,VIOLENCIA SICOLOGICA,69.4,67.5,64.5
ICA,VIOLENCIA SICOLOGICA,62.5,63.9,54.9
JUNIN,VIOLENCIA SICOLOGICA,63.7,66.5,61.0
LA LIBERTAD,VIOLENCIA SICOLOGICA,54.7,54.0,54.1
LAMBAYEQUE,VIOLENCIA SICOLOGICA,61.0,49.9,50.1
LIMA,VIOLENCIA SICOLOGICA,64.4,61.7,56.3
LORETO,VIOLENCIA SICOLOGICA,65.6,53.1,48.2
MADRE DE DIOS,VIOLENCIA SICOLOGICA,65.8,59.5,49.3
MOQUEGUA,VIOLENCIA SICOLOGICA,66.5,54.3,56.7
PASCO,VIOLENCIA SICOLOGICA,68.2,71.0,66.5
PIURA,VIOLENCIA SICOLOGICA,68.4,63.3,63.3
PUNO,VIOLENCIA SICOLOGICA,76.0,71.7,75.4
SAN MARTIN,VIOLENCIA SICOLOGICA,60.6,53.0,49.8
TACNA,VIOLENCIA SICOLOGICA,55.3,45.5,44.4
TUMBES,VIOLENCIA SICOLOGICA,64.5,60.1,64.0
UCAYALI,VIOLENCIA SICOLOGICA,65.8,44.3,45.6
