,departamento,año,canon minero,casos intervenidos  por el delito de trata de personas,empleo informal miles,incidencia de pobreza,indice analfabetismo,indice de acceso a agua,pob-total-estimada,poblacion con al menos una necesidad basica insatisfecha,porcentaje de la población afiliada a algún seguro de salud,prom eduacion de 15 anos a mas,tasa de desempleo,tasa denuncia de delitos,violencia fisica,violencia sicologica
0,amazonas,2016,0.0,36.0,201.5,34.25,9.3,82.0,411525.0,36.40444491,86.8,8.5,1.4,78.8,25.7,56.5
1,amazonas,2017,0.0,32.0,202.1,35.05,8.5,83.4,415469.0,35.34619146,85.5,8.7,1.6,134.0,23.5,51.3
2,amazonas,2018,0.0,21.0,203.6,34.55,8.4,85.3,419833.0,33.838405,86.2,8.8,1.2,146.1,27.7,51.8
3,ancash,2016,313664.0,14.0,493.9,22.65,8.7,93.9,1126698.0,15.67883663,76.6,9.6,2.9,90.5,28.4,61.3
4,ancash,2017,494475.0,10.0,493.0,24.6,10.0,92.3,1140486.0,14.93468964,80.6,9.5,2.9,101.7,33.1,66.4
5,ancash,2018,1085385.0,11.0,496.5,23.1,9.6,93.6,1155451.0,18.15611253,81.7,9.7,3.1,118.3,30.2,66.1
6,apurimac,2016,3207.0,9.0,232.3,34.25,16.3,92.7,422534.0,18.02108402,91.1,9.2,1.9,43.4,45.8,75.6
7,apurimac,2017,16469.0,3.0,224.1,35.05,15.2,93.1,424717.0,15.529987,90.9,9.2,1.8,55.4,47.8,74.0
8,apurimac,2018,11708.0,4.0,231.4,34.55,14.0,95.4,427323.0,11.6830632,92.8,9.1,1.9,97.9,44.3,79.5
9,arequipa,2016,21985.0,45.0,442.8,10.8,4.4,93.4,1357444.0,11.11169286,63.2,10.9,4.9,151.1,38.3,70.1
10,arequipa,2017,258609.0,71.0,443.8,13.35,3.9,92.8,1392144.0,11.81091254,64.1,10.9,4.3,193.8,39.6,70.3
